,Word,Power
0,sense,102.9
1,death,142.5
2,loath,150.0
3,arbor,122.4
4,windy,100.5
5,aptly,135.0
6,touch,130.5
7,pedal,138.0
8,fluke,111.0
9,nicer,148.5
10,lipid,98.7
11,dowry,114.0
12,seedy,111.0
13,split,133.5
14,semen,111.0
15,zesty,120.0
16,aside,147.0
17,oddly,105.6
18,moron,113.1
19,steep,120.0
20,tease,139.5
21,entry,150.0
22,shorn,139.5
23,cower,135.0
24,gypsy,83.7
25,ionic,115.2
26,fungi,103.5
27,paint,138.0
28,share,154.5
29,write,139.5
30,wharf,108.0
31,filth,120.0
32,fancy,115.5
33,mucky,90.0
34,axial,106.2
35,avert,145.5
36,fishy,106.5
37,otter,142.8
38,scaly,136.5
39,wafer,126.0
40,sissy,87.3
41,woozy,71.1
42,fruit,129.0
43,hotel,151.5
44,putty,99.3
45,wispy,100.5
46,robin,133.5
47,terse,138.0
48,naive,133.5
49,loose,134.1
50,unwed,112.5
51,nadir,142.5
52,token,136.5
53,trial,160.5
54,altar,139.2
55,brine,138.0
56,logic,129.0
57,basis,108.9
58,error,118.80000000000001
59,blank,112.5
60,brick,106.5
61,motel,145.5
62,whelp,111.0
63,eagle,126.0
64,leaky,133.5
65,solar,160.5
66,terra,146.4
67,gorge,123.0
68,droll,121.5
69,pleat,151.5
70,scrum,121.5
71,manga,97.2
72,fence,103.5
73,cliff,93.6
74,embed,88.5
75,heavy,120.0
76,curry,108.9
77,condo,105.6
78,roach,145.5
79,stock,123.0
80,naval,104.7
81,ruler,132.9
82,blurt,132.0
83,mound,114.0
84,aroma,124.2
85,woody,86.1
86,gloss,110.4
87,filmy,103.5
88,wider,126.0
89,clean,151.5
90,poppy,77.1
91,bezel,90.0
92,piano,139.5
93,dusky,99.0
94,lofty,126.0
95,equal,129.0
96,panic,129.0
97,wench,112.5
98,segue,111.0
99,nerdy,136.5
100,tight,100.8
101,funny,86.1
102,vigor,117.0
103,dumpy,93.0
104,freed,108.0
105,wagon,117.0
106,warty,130.5
107,agent,145.5
108,pulse,135.0
109,aorta,142.2
110,plush,117.0
111,crimp,115.5
112,throb,130.5
113,sheik,121.5
114,tonic,141.0
115,major,117.0
116,known,80.1
117,quash,108.0
118,untie,147.0
119,spent,138.0
120,delay,142.5
121,might,108.0
122,after,150.0
123,sally,120.0
124,tread,157.5
125,lilac,123.0
126,booty,104.1
127,optic,132.0
128,final,130.5
129,audio,139.5
130,salad,118.2
131,usurp,106.8
132,alley,130.5
133,pasta,118.2
134,poker,130.5
135,judge,94.5
136,fatty,105.3
137,never,111.0
138,horse,151.5
139,total,136.8
140,toddy,107.1
141,taken,139.5
142,artsy,150.0
143,spiky,102.0
144,swath,121.5
145,blaze,118.5
146,idyll,103.5
147,jetty,96.3
148,creep,118.5
149,drawn,121.5
150,smack,108.0
151,email,145.5
152,fecal,136.5
153,havoc,117.0
154,avoid,121.5
155,billy,97.5
156,nutty,108.3
157,hence,112.5
158,cabal,107.7
159,felon,136.5
